cl0,t/c,w_LE,section_area,TE_angle,ler
-0.3193358778953552,-0.01649452154008769,-0.24781805167042298,-0.5082424942449084,-0.017834039648011005,-0.23548038790553535
-0.11035165190696716,-0.06081535864593077,-0.37853699526822104,-0.26974787615223517,-0.019027497885070823,-0.8045105808224087
-0.3177770674228668,-0.02169395473327768,-0.27164396597563,-0.5220426867712845,-0.003775842220456394,-0.23548038790553535
-0.3071722388267517,-0.004233829596518716,-0.177740268721602,-0.4930893230490214,-0.0027138610894612957,-0.23548038790553535
-0.15050923824310303,-0.015325563367347144,-1.3380097283588743,-0.35169791117771115,-0.008349970850853879,-0.8045105808224087
-0.3034285306930542,-0.027340453821739462,-0.04786760087599533,-0.4980718117532831,-0.02454196363403485,-0.23548038790553535
-0.30020979046821594,-0.01788177173625212,-0.04786760087599533,-0.4897506103637469,-0.0212895289327469,-0.23548038790553535
-0.3353988230228424,-0.01348747835697879,-0.5432235307759795,-0.5116065126557615,-0.0007298652619248235,-0.23548038790553535
-0.31567636132240295,-0.0002623339089915979,-0.35319158603594514,-0.49684007845675277,-0.009658353379873325,-0.23548038790553535
-0.36148491501808167,-0.018041065793708545,-0.21520209443075572,-0.5300650922896358,-0.05565626465021482,-0.23548038790553535
-0.28974395990371704,-0.010365657103148703,-0.16410896287561436,-0.4789620267841138,-0.009724717597874756,-0.23548038790553535
-0.2967923581600189,-0.005339309025906729,-0.4253378140385519,-0.48031959912332645,-0.02415020800677199,-0.23548038790553535
-0.1598231941461563,-0.0698426948972142,-0.1595296438635331,-0.3608507019408291,-0.014393741415724063,-0.8045105808224087
-0.10321788489818573,-0.024861476805768654,-0.1883427160833024,-0.2449166424832366,-0.008206305247979861,-0.8045105808224087
-0.3327442407608032,-0.002745491241141755,-0.20090669413198567,-0.5105041080346482,-0.021606086333313203,-0.23548038790553535
-0.30984923243522644,-0.005003695742237386,-0.17547762939088743,-0.4942625675154945,-0.005698595018311634,-0.23548038790553535
-0.32131046056747437,-0.01159851196561486,-0.27164396597563,-0.5131242809384996,-0.0017182301882425071,-0.23548038790553535
-0.16446498036384583,-0.04258950283700008,-0.19341267711251,-0.35987453060407687,-0.004827998978819587,-0.8045105808224087
-0.3407720625400543,-0.0036099991156396923,-0.01407070907175535,-0.5142766834374536,-0.01646788971707501,-0.23548038790553535
-0.36763665080070496,-0.003583318711314471,-0.17922084639279756,-0.5085696897741867,-0.03706172340440377,-0.23548038790553535
-0.3646561801433563,-0.015233573440196472,-0.24863277534923314,-0.5220932668352579,-0.039475149784950855,-0.23548038790553535
-0.11709041893482208,-0.07068175228315644,-0.04704129502660973,-0.2713789737999193,-0.017367850140802787,-0.8045105808224087
-0.1117745041847229,-0.0029790840381592547,-0.36347277038591713,-0.2539993016849425,-0.011887313688831067,-0.8045105808224087
-0.14710716903209686,-0.039616982065081664,-0.07803653728235872,-0.3389594118525755,-0.006996035781668207,-0.8045105808224087
-0.3331974744796753,-0.019301938448701338,-0.5436509934602991,-0.5163478734154141,-0.0023008864865646265,-0.23548038790553535
-0.09954546391963959,-0.1492418631543281,-0.13631918258977208,-0.24667168934468695,-0.009738257232403612,-0.8045105808224087
-0.30427122116088867,-0.030298257538840287,-0.27258372774267997,-0.5019160926364801,-0.022826920510616747,-0.23548038790553535
-0.33075085282325745,-0.003066735051590287,-0.3003717398832041,-0.5106815267087592,-0.030341360084566008,-0.23548038790553535
-0.1360853612422943,-0.005245219940465187,-0.2657784735064602,-0.2777852091457155,-0.018663096363137316,-0.23548038790553535
-0.08390510827302933,-0.050907239682052005,-0.016467371218849152,-0.19985613288880394,-0.008706138675499495,-0.8045105808224087
-0.061741359531879425,-0.023289704534333967,-0.21542601390935429,-0.15869572040229185,-0.0045020624576955,-0.8045105808224087
-0.12414366751909256,-0.009330448859397645,-0.7670138768628103,-0.27676885638628657,-0.009029554324262223,-0.8045105808224087
-0.36150720715522766,-0.008788723516790373,-0.17462264247439688,-0.5196256252250547,-0.0536296205341463,-0.23548038790553535
-0.11338195204734802,-0.0064051264690274156,-0.988659927726249,-0.2612815648378407,-0.021128923357907347,-0.8045105808224087
-0.10209450870752335,-0.1582678033042978,-0.003189054256053222,-0.25145356155191745,-0.009738353752769859,-0.8045105808224087
-0.10469638556241989,-0.020073690515558712,-0.39811948907059747,-0.24444892356699086,-0.005456350633228413,-0.8045105808224087
-0.06445113569498062,-0.01793135551427045,-0.2931973331201639,-0.1587238039602223,-0.007927382016703578,-0.8045105808224087
-0.3317243754863739,-0.0009213532656380003,-0.3579769060304421,-0.5079552077722282,-0.026970647866622427,-0.23548038790553535
-0.05586044117808342,-0.017624898582279114,-0.0044957751364160786,-0.14760746745438863,-0.009958408726157286,-0.8045105808224087
-0.12358712404966354,-0.04047705770171303,-0.03616541708596435,-0.29526967579657326,-0.01463996002866229,-0.8045105808224087
-0.1090318039059639,-0.0048903573090403945,-0.3423055079081606,-0.25933662728985957,-0.014138131649807664,-0.8045105808224087
-0.31202811002731323,-0.012495199426605194,-0.17674173764986567,-0.5039213566097175,-0.010328451791316398,-0.23548038790553535
-0.10237649083137512,-7.976509542663727e-05,-0.3295476345916309,-0.2459985438924556,-0.011441722327014478,-0.8045105808224087
-0.1594320833683014,-0.07273185980999033,-0.3245058669022683,-0.365734156767057,-0.02797684339410326,-0.8045105808224087
-0.30911046266555786,-0.0059219546731909154,-0.177740268721602,-0.4956297619463353,-0.004856042037433827,-0.23548038790553535
-0.07854090631008148,-0.035051853374199596,-0.34995492380280674,-0.19260373699224942,-0.009619272970101789,-0.8045105808224087
-0.10783319920301437,-0.010590405713300482,-0.39811948907059747,-0.23521875906269105,-0.00460684557945456,-0.8045105808224087
-0.12542009353637695,-0.013445692764584611,-0.07803653728235872,-0.29393069422546164,-0.004523203171590319,-0.8045105808224087
-0.14993108808994293,-0.01646902897242102,-1.3121891569260207,-0.35243837232316605,-0.00809015128355041,-0.8045105808224087
-0.16781289875507355,-0.06604776398449178,-0.20785299514823527,-0.3802697034831128,-0.006455770166247331,-0.8045105808224087
-0.06654484570026398,-0.0036326575852612913,-0.4353527683895002,-0.15560430332751676,-0.0029877403441776243,-0.8045105808224087
-0.3691748082637787,-0.012063895368744117,-0.13927167252033926,-0.5160254325926198,-0.035676931139661305,-0.23548038790553535
-0.16211365163326263,-0.06386460201502264,-0.41825357679404596,-0.3825451208216401,-0.0061044320424643765,-0.8045105808224087
-0.17012454569339752,-0.06247100012826419,-0.20250376324088992,-0.38353363797985823,-0.01258137817895294,-0.8045105808224087
-0.06022315099835396,-0.0015771573194164473,-0.568147901201335,-0.15210764204242955,-0.0020826598303798796,-0.8045105808224087
-0.10772895812988281,-0.018094153832301202,-0.1883427160833024,-0.23823046428518055,-0.007940597709043627,-0.8045105808224087
-0.10913342237472534,-0.007370878129368784,-0.3295476345916309,-0.26075570510089857,-0.012095042619439072,-0.8045105808224087
-0.1251271814107895,-0.011134151962659702,-0.12191574234381154,-0.2924871941274637,-0.003475370283735861,-0.8045105808224087
-0.07222307473421097,-0.0011144094628652845,-0.15874293107524046,-0.17100516818647582,-0.0001107804492085642,-0.8045105808224087
-0.10849332064390182,-0.017158254901003683,-0.1883427160833024,-0.2360800230291639,-0.007542204903638207,-0.8045105808224087
-0.13335028290748596,-0.013958161279621422,-0.259839319529353,-0.2849054554530361,-0.022847446744189072,-0.8045105808224087
-0.30800220370292664,-0.010811138836956178,-0.1732079786981437,-0.4991772938763804,-0.005087449339498159,-0.23548038790553535
-0.15793922543525696,-0.009347779465238428,-1.1798190566883966,-0.3381284203023671,-0.032516288181165996,-0.8045105808224087
-0.1691886931657791,-0.09792971235270453,-0.004429777012542856,-0.39994422664506113,-0.0052815186636653785,-0.8045105808224087
-0.19254617393016815,-0.005536699012442802,-0.6623838619792389,-0.3513557622039007,-0.03577402341470984,-0.23548038790553535
-0.0947628989815712,-0.15028382299722362,-0.0023469830023552006,-0.25269045626930037,-0.01534509302111825,-0.8045105808224087
-0.15808050334453583,-0.01034802875741395,-1.1798190566883966,-0.33903358876736395,-0.032584707611992815,-0.8045105808224087
-0.15359561145305634,-0.028404365374310746,-0.17060157997404043,-0.34176332202583204,-0.02899064912930705,-0.8045105808224087
-0.18803484737873077,-0.0035122227188825617,-0.7054740495685949,-0.34645136877533395,-0.0285710121754384,-0.23548038790553535
-0.3146604895591736,-0.00986169953021791,-0.1840483538105319,-0.5020370028849837,-0.010590707939054618,-0.23548038790553535
-0.131806880235672,-0.011421446195914588,-0.25381911324288353,-0.28145493108645214,-0.024127456333776373,-0.8045105808224087
-0.1906350553035736,-0.004427289768071213,-0.6623838619792389,-0.3521008896594818,-0.03761910344849736,-0.23548038790553535
-0.17002037167549133,-0.04796904724183553,-0.03354563271178441,-0.3803471435850674,-0.013159309109551043,-0.8045105808224087
-0.16008956730365753,-0.07166697756399674,-0.3274669764211271,-0.3636761978805639,-0.02525887815778709,-0.8045105808224087
-0.16677968204021454,-0.061330457637491405,-0.20785299514823527,-0.3770014866580453,-0.006177652450376635,-0.8045105808224087
-0.3133530020713806,-0.014425521761994306,-0.1829259644104628,-0.5056087819782557,-0.01072585513539795,-0.23548038790553535
-0.059580352157354355,-0.021453776002123566,-0.21542601390935429,-0.15396964009796882,-0.0043786460603644235,-0.8045105808224087
-0.31590214371681213,-0.0018103635821822032,-0.35319158603594514,-0.4976770804562223,-0.009567081004368995,-0.23548038790553535
-0.1280023604631424,-0.05272109721198826,-0.0710979874309766,-0.28690068708626326,-0.021577833669865414,-0.8045105808224087
-0.29823756217956543,-0.013859102601717677,-0.4253378140385519,-0.48577355164041,-0.024158208861036593,-0.23548038790553535
-0.1908433586359024,-0.0032703763078570204,-0.6623838619792389,-0.3513762459551462,-0.03761804171328959,-0.23548038790553535
-0.10956227034330368,-0.011557130991952342,-0.3819229056474868,-0.2340873447401726,-0.0021868812604966892,-0.8045105808224087
-0.06040210649371147,-0.024415815825193362,-0.03319562826096516,-0.15844109290070602,-0.00171972661740427,-0.8045105808224087
